bigregn_code	bigregn_name	dc_code	dc_name	regn_code	regn_name	area_code	area_name	city_code	city_name	compete_store	hig_md_low_level	store_type	flop_type_name	innovate_type_name	openbusi_dt	store_code	store_name	subregn_code	subregn_name	is_enabled	deleted	sync_time
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000006	广州_谷巧艳	0201	广州	未分类	中档店	封闭店		非创新店	2017-09-26	1506	广州市天河区东莞庄路店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000018	广州_汪祚民	0201	广州	未分类	中档店	加盟店		非创新店	2017-09-23	1507	广州市海珠区逸景翠园3店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000016	广州_林钊峰	0201	广州	未分类	高档店	封闭店		非创新店	2017-09-24	1508	广州市天河区华景里店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500011	江门_邓双	0204	中山	未分类	高档店	封闭店		非创新店	2017-09-26	1509	中山市古镇镇六坊花园店	F0750003	江门_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107570007	广州_刘敏君	0202	佛山	未分类	中档店	加盟店		非创新店	2017-10-15	1510	佛山市南海区都市晴园店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0201	广州	未分类	中档店	加盟店		非创新店	2017-11-05	1511	广州市黄埔区中海誉城北苑店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	未分类	中档店	加盟店		非创新店	2018-01-12	1512	珠海市香洲区联浩花园店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000009	广州_李华燕	0201	广州	二级竞争店	中档店	加盟店		非创新店	2018-02-06	1513	广州市黄埔区青年路2店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0202000013	广州_林宝相	0201	广州	一级竞争常规门店	中档店	加盟店		非创新店	2018-02-09	1514	广州市海珠区第三金碧店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107570007	广州_刘敏君	0206	肇庆	未分类	中档店	加盟店		非创新店	2018-03-25	1515	肇庆市端州区星荷湖畔店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
